epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.157,1.60943,1.3786,1.07273,0.56395,0.29087,0.29417,0.16345,1.45378,0.97461,1.01119,0.00333181,0.00333181,0.0700137
2,569.868,1.54353,1.06446,1.03177,0.49471,0.32222,0.33993,0.18805,1.41747,0.90195,0.982,0.00666496,0.00666496,0.0400135
3,844.998,1.54743,1.04015,1.03134,0.45254,0.33556,0.33252,0.17968,1.43376,0.90894,0.98868,0.00999739,0.00999739,0.0100126
4,1117.98,1.53325,1.00851,1.02736,0.62166,0.36039,0.37198,0.20578,1.38184,0.83931,0.97247,0.00999756,0.00999756,0.00999756
5,1386.37,1.49871,0.96272,1.01471,0.64189,0.36657,0.38837,0.21724,1.35946,0.80185,0.96405,0.00999566,0.00999566,0.00999566
6,1655.24,1.47961,0.93725,1.00782,0.67199,0.37206,0.40341,0.22629,1.34328,0.7828,0.95694,0.00999322,0.00999322,0.00999322
7,1924.03,1.46504,0.92005,1.0026,0.67352,0.38036,0.41222,0.23279,1.33374,0.76825,0.95403,0.00999023,0.00999023,0.00999023
8,2192.46,1.45573,0.90742,0.99827,0.68797,0.37977,0.4211,0.23864,1.32543,0.75868,0.95081,0.00998671,0.00998671,0.00998671
9,2460.9,1.44845,0.9,0.99546,0.67522,0.39149,0.42389,0.24225,1.32023,0.75032,0.94865,0.00998264,0.00998264,0.00998264
10,2729.47,1.44158,0.8912,0.99267,0.68279,0.39701,0.42975,0.24535,1.31541,0.74382,0.94677,0.00997803,0.00997803,0.00997803
11,2997.57,1.43864,0.8875,0.99156,0.68853,0.39777,0.43444,0.24797,1.31127,0.7396,0.94517,0.00997288,0.00997288,0.00997288
12,3265.45,1.43342,0.88176,0.98911,0.68703,0.39996,0.4367,0.2499,1.30898,0.7362,0.94368,0.0099672,0.0099672,0.0099672
13,3533.54,1.42904,0.87711,0.98725,0.68734,0.40573,0.43905,0.25121,1.30664,0.73307,0.94269,0.00996097,0.00996097,0.00996097
14,3801.61,1.4299,0.87718,0.98829,0.69237,0.40515,0.44098,0.25207,1.3051,0.73071,0.9423,0.0099542,0.0099542,0.0099542
15,4069.44,1.42438,0.87186,0.9852,0.69866,0.40284,0.44209,0.25282,1.30369,0.72902,0.94143,0.0099469,0.0099469,0.0099469
16,4337.34,1.42311,0.87056,0.98421,0.69636,0.40487,0.44297,0.25342,1.30252,0.72792,0.94069,0.00993906,0.00993906,0.00993906
17,4605.12,1.42313,0.86772,0.98369,0.69793,0.40476,0.4439,0.25413,1.30168,0.72665,0.94027,0.00993068,0.00993068,0.00993068
18,4873.01,1.42026,0.86527,0.98302,0.70066,0.40616,0.44508,0.25435,1.30089,0.72577,0.93995,0.00992177,0.00992177,0.00992177
19,5140.76,1.41771,0.86332,0.98161,0.70084,0.40478,0.44521,0.25504,1.30003,0.72488,0.93951,0.00991232,0.00991232,0.00991232
20,5408.66,1.41701,0.86339,0.98201,0.70204,0.40447,0.44568,0.25525,1.29924,0.72408,0.93916,0.00990234,0.00990234,0.00990234
21,5676.82,1.4149,0.86093,0.9806,0.70334,0.40416,0.44612,0.2557,1.29863,0.72325,0.93876,0.00989183,0.00989183,0.00989183
